2022-09-20 08:00:20.344 [INFO]  -  主程序启动完成...
2022-09-20 08:35:12.771 [INFO]  -  主程序关闭...
2022-09-20 11:44:31.951 [INFO]  -  主程序启动完成...
2022-09-20 11:45:07.128 [INFO]  -  用户名: user0登录成功！
2022-09-20 11:49:37.957 [INFO]  -  主程序关闭...
2022-09-20 14:06:07.840 [INFO]  -  主程序启动完成...
2022-09-20 14:06:18.771 [INFO]  -  用户名: user0登录成功！
QString::arg: Argument missing: x:362,y:290 | r:331,g:288,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:253,g:231,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:236,g:211,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:236,g:211,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:213,g:182,b:255, 255
QString::arg: Argument missing: x:362,y:290 | r:213,g:182,b:255, 0
QString::arg: Argument missing: x:362,y:290 | r:201,g:169,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:201,g:169,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:188,g:155,b:255, 255
QString::arg: Argument missing: x:362,y:290 | r:188,g:155,b:255, 0
QString::arg: Argument missing: x:362,y:290 | r:182,g:149,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:182,g:149,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:178,g:143,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:178,g:143,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:177,g:142,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:177,g:142,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:175,g:142,b:255, 255
QString::arg: Argument missing: x:362,y:290 | r:175,g:142,b:255, 0
QString::arg: Argument missing: x:362,y:290 | r:167,g:138,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:167,g:138,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:164,g:136,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:164,g:136,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:155,g:132,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:155,g:132,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:141,g:126,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:141,g:126,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:123,g:119,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:123,g:119,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:114,g:116,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:114,g:116,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:107,g:113,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:107,g:113,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:106,g:112,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:106,g:112,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:106,g:112,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:106,g:112,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:105,g:110,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:105,g:110,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:103,g:107,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:103,g:107,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:102,g:104,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:102,g:104,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:101,g:102,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:101,g:102,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:99,g:100,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:99,g:100,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:96,g:94,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:96,g:94,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:94,g:92,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:94,g:92,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:93,g:89,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:93,g:89,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:93,g:89,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:93,g:89,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:93,g:88,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:93,g:88,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:92,g:92,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:92,g:92,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:92,g:96,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:92,g:96,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:91,g:98,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:91,g:98,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:90,g:104,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:90,g:104,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:89,g:112,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:89,g:112,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:87,g:121,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:87,g:121,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:87,g:124,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:87,g:124,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:86,g:126,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:86,g:126,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:86,g:127,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:86,g:127,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:86,g:129,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:86,g:129,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:85,g:132,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:85,g:132,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:84,g:134,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:84,g:134,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:84,g:136,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:84,g:136,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:84,g:137,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:84,g:137,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:83,g:137,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:83,g:137,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:83,g:138,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:83,g:138,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:82,g:139,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:82,g:139,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:81,g:144,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:81,g:144,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:78,g:153,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:78,g:153,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:76,g:161,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:76,g:161,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:74,g:168,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:74,g:168,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:73,g:171,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:73,g:171,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:72,g:174,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:72,g:174,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:71,g:176,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:71,g:176,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:70,g:182,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:70,g:182,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:67,g:187,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:67,g:187,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:66,g:190,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:66,g:190,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:65,g:195,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:65,g:195,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:63,g:197,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:63,g:197,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:61,g:203,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:61,g:203,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:60,g:214,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:60,g:214,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:59,g:219,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:59,g:219,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:58,g:224,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:58,g:224,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:58,g:226,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:58,g:226,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:57,g:227,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:57,g:227,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:57,g:227,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:57,g:227,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:54,g:223,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:54,g:223,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:51,g:215,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:51,g:215,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:50,g:213,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:50,g:213,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:50,g:211,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:50,g:211,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:47,g:204,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:47,g:204,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:47,g:200,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:47,g:200,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:46,g:196,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:46,g:196,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:194,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:194,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:187,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:187,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:183,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:183,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:175,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:175,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:172,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:172,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:171,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:171,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:169,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:169,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:164,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:164,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:159,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:159,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:156,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:156,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:150,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:150,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:145,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:145,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:141,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:141,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:46,g:135,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:46,g:135,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:47,g:127,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:47,g:127,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:47,g:123,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:47,g:123,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:48,g:118,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:48,g:118,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:49,g:114,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:49,g:114,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:51,g:109,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:51,g:109,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:51,g:106,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:51,g:106,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:52,g:103,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:52,g:103,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:53,g:101,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:53,g:101,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:54,g:100,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:54,g:100,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:54,g:99,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:54,g:99,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:55,g:98,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:55,g:98,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:56,g:97,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:56,g:97,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:60,g:95,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:60,g:95,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:64,g:94,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:64,g:94,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:73,g:93,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:73,g:93,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:83,g:92,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:83,g:92,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:100,g:91,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:100,g:91,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:110,g:91,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:110,g:91,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:121,g:91,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:121,g:91,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:125,g:91,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:125,g:91,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:139,g:92,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:139,g:92,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:161,g:98,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:161,g:98,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:174,g:100,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:174,g:100,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:183,g:102,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:183,g:102,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:195,g:105,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:195,g:105,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:202,g:106,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:202,g:106,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:218,g:111,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:218,g:111,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:233,g:114,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:233,g:114,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:248,g:118,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:248,g:118,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:250,g:118,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:250,g:118,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:251,g:119,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:251,g:119,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:252,g:120,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:252,g:120,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:253,g:120,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:253,g:120,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:253,g:121,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:253,g:121,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:255,g:123,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:255,g:123,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:257,g:128,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:257,g:128,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:259,g:131,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:259,g:131,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:261,g:135,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:261,g:135,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:262,g:137,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:262,g:137,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:262,g:139,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:262,g:139,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:262,g:140,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:262,g:140,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:142,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:142,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:144,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:144,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:145,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:145,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:146,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:146,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:147,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:147,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:264,g:148,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:264,g:148,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:264,g:149,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:264,g:149,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:264,g:151,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:264,g:151,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:264,g:152,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:264,g:152,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:264,g:154,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:264,g:154,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:265,g:157,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:265,g:157,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:265,g:161,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:265,g:161,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:266,g:164,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:266,g:164,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:267,g:169,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:267,g:169,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:267,g:171,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:267,g:171,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:267,g:174,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:267,g:174,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:268,g:174,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:268,g:174,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:268,g:175,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:268,g:175,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:268,g:176,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:268,g:176,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:268,g:176,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:268,g:176,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:268,g:177,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:268,g:177,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:267,g:178,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:267,g:178,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:183,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:263,g:183,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:258,g:187,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:258,g:187,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:250,g:192,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:250,g:192,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:240,g:196,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:240,g:196,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:222,g:200,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:222,g:200,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:209,g:203,b:255, 255
QString::arg: Argument missing: x:362,y:290 | r:209,g:203,b:255, 0
QString::arg: Argument missing: x:362,y:290 | r:194,g:204,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:194,g:204,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:169,g:206,b:255, 255
QString::arg: Argument missing: x:362,y:290 | r:169,g:206,b:255, 0
QString::arg: Argument missing: x:362,y:290 | r:144,g:207,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:144,g:207,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:128,g:207,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:128,g:207,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:114,g:207,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:114,g:207,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:97,g:207,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:97,g:207,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:86,g:207,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:86,g:207,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:82,g:206,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:82,g:206,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:78,g:206,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:78,g:206,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:78,g:206,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:78,g:206,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:77,g:206,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:77,g:206,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:72,g:202,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:72,g:202,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:69,g:198,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:69,g:198,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:63,g:192,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:63,g:192,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:52,g:176,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:52,g:176,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:166,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:45,g:166,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:41,g:159,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:41,g:159,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:40,g:154,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:40,g:154,b:0, 0
QString::arg: Argument missing: x:362,y:290 | r:37,g:141,b:0, 0
